Pitcher,PitcherTeam,TaggedPitchType,Stuff+,RelSpeed,RelHeight,RelSide,Extension,InducedVertBreak,HorzBreak,AdjustedVAA,AdjustedHAA
"Zabel, Peyton",TEX_BOB,Cutter,135,85.4554,6.78297,0.90734,6.29319,-1.44933,-2.43858,-1.514519001719627,0.869071350598035
"Olsen, Bobby",NEB,Curveball,135,81.02399853658537,5.824879756097561,2.3636151219512196,5.313935609756098,-17.55141024390244,-12.16152536585366,-0.31754366238253406,-1.0936653011045858
"Zabel, Peyton",TEX_BOB,Slider,135,85.0849875862069,6.639418965517241,0.8864327586206897,5.7380875862068965,-5.145107931034483,-6.206615862068966,-1.0486393645574008,1.1533706669978347
"Wentworth, Jackson",KAN_WIL,Curveball,134,83.11140755274262,6.216403713080169,-0.07336333333333334,5.697042109704641,-7.219357974683544,-2.9109935443037975,0.3743636718890895,2.2256779300043665
"Flukey, Cameron",COA_CHA,Curveball,134,75.37591434782608,6.002299913043479,0.9498668695652174,6.4736456521739125,-18.73812886956522,-7.370877913043479,-1.3027531679144075,0.689406255080648
"Smith, Tanner",HAR_CRI,Slider,132,82.6803476744186,6.519773023255814,0.8594944186046513,5.884586046511628,-14.229259069767442,-5.450753720930233,-1.834509554573688,1.1910030349553298
"Burns, Chase",WAK_DEA,Cutter,132,88.04630275862068,6.499298965517242,1.9947386206896551,5.568273793103448,-1.4941175862068965,-6.599986206896552,-1.1507309429012105,-0.7932964952085352
"Dutkanych, Andrew",VAN_COM,Curveball,132,80.23157157894737,6.154625263157894,1.305472105263158,5.284993157894737,-19.76239157894737,-10.801707894736841,-0.8863655558045425,0.0406829305055181
"Shepardson, Blake",SAN_DON,Slider,131,84.83095273809525,5.3914132142857145,2.2759863095238098,5.858150238095238,-4.011808095238095,-16.298727500000002,0.26727849937075393,-1.2312263782169524
"Flynn, Bennett",NOT_IRI,Slider,131,80.97482586206897,6.657205862068965,0.47652655172413794,5.3152441379310345,-9.799313793103448,-4.090443448275862,-2.061106133499675,1.7599109424713784
"Flora, Jackson",SAN_GAU,Curveball,131,76.35793,5.41429,1.42727,5.48839,-5.37855,-27.27828,0.6437866683642621,-1.2645716512291187
"Arnold, Jamie",FLO_SEM,Cutter,131,86.253045,4.5624400000000005,-2.9202899999999996,5.49301,-3.80467,11.00605,0.498943428132403,1.642782325270452
"Hughes, Ryan",TOL_ROC,Curveball,130,81.97751285714286,5.8713942857142865,2.8314685714285717,5.248462857142857,-13.27024857142857,-15.78549142857143,0.07072090882607489,-1.9369050570384219
"Hansen, Trevor",CAL_ANT,Slider,130,81.32870111111112,6.146561111111112,1.0757022222222221,5.420763333333333,-12.299407777777779,0.45267111111111114,-1.4022457866930853,1.5702736346165251
"Sales, RJ",UNC_SEA,Curveball,130,82.78507790393013,6.112796331877729,1.380616768558952,4.998508689956332,-12.93548288209607,-3.5971851091703058,0.0466397902333114,0.6182215390502509
"Anderson, Caleb",FRE_BUL,Curveball,130,81.17229888888889,6.212542222222222,2.5111777777777777,5.719488888888889,-10.773805555555555,-15.026705555555557,-0.09084558563853731,-1.5880717999056992
"Crumbley, Andrew",BUT_BUL,Cutter,130,79.71633,5.55163,-0.88307,5.42375,-14.36469,10.39449,-2.196302724935732,-0.5306137310549777
"Sarti, Edward",PEN_QUA,Cutter,130,82.25648000000001,6.225205,2.489555,5.491315,-4.27393,-7.8813625,-1.8689197932578356,-1.3048554687995086
"Rossi, Tony",CHA_FOR,Slider,129,83.85361698113206,5.4698539622641515,2.282094716981132,5.768485424528302,-5.579489433962264,-15.859247877358492,-0.0703545450693189,-1.2365885435584518
"Hults, Connor",FLO_SEM,Slider,129,79.222758,5.796044,-1.463546,4.687406,-17.350647000000002,11.183066,-1.9386872134795436,-0.2797192313277539
"Brecht, Brody",IOW_HAW,Slider,129,87.01651928425358,6.22813026584867,2.1848609406952963,5.249317709611453,-3.747985582822086,-1.2148150511247444,-0.34272808208897093,0.2150212510744513
"Scott, Kyle",ORE_BEA,Curveball,129,81.47509,6.18192,2.0661199999999997,6.0620225,-11.87818625,-9.8025675,-0.20068229997322762,-0.6517527912641663
"Lunsford-Shenkman, Wyatt",ECU_PIR,Slider,129,81.97550042492918,5.436254022662889,1.3099279320113315,5.0296271388101985,-3.837232889518414,-20.182512492917848,-0.10146819746166796,-0.5214735280598816
"May, Aiden",ORE_BEA,Slider,128,83.63635049180327,5.362867322404371,2.635034234972678,5.214144262295082,-0.030314863387978133,-19.466932978142076,0.5259590911265384,-1.8619904445541742
"Hammond, Blake",SAN_BRO,Slider,128,82.52387259999999,6.2413028,0.4650158,5.0973926,-5.639415199999999,-1.558613,-0.8388525807830735,2.012553678044043
