Pitcher,PitcherTeam,TaggedPitchType,Stuff+,RelSpeed,RelHeight,RelSide,Extension,InducedVertBreak,HorzBreak,AdjustedVAA,AdjustedHAA
"Evans, Tate",YAL_BUL,ChangeUp,122,77.1492120952381,5.5469841904761905,1.3092122857142856,5.778368952380952,-0.19018676190476194,19.84721514285714,-1.0047105249457844,1.0382173899019804
"Pinto, Nick",CAL_ANT,ChangeUp,122,79.20126634408602,5.874958924731183,-1.1522048387096775,5.1710021505376345,4.297363978494624,-16.804953225806454,-0.7382310049650069,-1.1199251313759155
"Seebold, Gavin",SOU_IND16,ChangeUp,122,83.21535836065573,6.2913152459016395,1.3566632786885247,6.021844590163934,6.057983606557377,14.287369344262295,-0.6043356178851288,0.4889353278150674
"Walker, Charlie",NOR_HUS,ChangeUp,122,76.7544459574468,6.226811489361703,0.8160887234042553,7.158651489361702,9.18273489361702,13.733000425531914,-0.8996772293677574,1.1363932203783642
"Prager, Ryan",TEX_AGG,ChangeUp,122,78.92710898305084,6.520178813559322,-2.006783050847458,5.848130508474576,12.457552711864407,-7.368490423728813,-0.6815204294666773,0.6329072532732468
"Ritchie, Erik",ECU_PIR,ChangeUp,122,84.04418529411765,6.405991764705882,-1.0294770588235294,4.939371764705882,4.463764117647059,-10.563085882352942,-0.8845279236740521,-0.6891571701840153
"Cain, Tegan",KAN_JAY,ChangeUp,122,82.61076789473684,5.0805476315789475,1.362643157894737,5.326613552631579,0.9622930263157895,18.60999210526316,0.15433463854045107,0.9027073870753701
"Goldstein, Charlie",GEO_BUL,ChangeUp,122,79.59269721393035,6.232234676616916,-0.9036794527363183,4.9759178109452735,8.233360348258707,-18.021501094527363,-0.6755482445201896,-1.4820735330042005
"Walsh, Alex",MAR_TER,Splitter,122,77.65299923076924,6.970270769230769,1.0875261538461538,4.045484615384615,10.712546923076925,5.453026153846154,-0.9718363108306136,0.3307337772103699
"Gibson, Jack",UNC_SEA,ChangeUp,122,80.42433428571428,5.963231904761905,-2.1161728571428573,5.756522380952381,8.563794761904763,-21.076831904761907,-0.32913599754391826,-0.5598999461403259
"McManmon, Quinten",GEO_PAN,ChangeUp,122,82.58140055555556,6.689192037037037,1.2120466666666667,6.519673703703704,10.608975555555556,16.01453796296296,-0.7095828772496631,0.830901149236424
